Ticker,Exchange,Full ticker
SLR,BOLSA DE MADRID,SLR
KRDMD.E,BORSA ISTANBUL - EQUITY MARKET,KRDMD.E
NDA,XETRA,NDA.DE
VNA,XETRA,VNA.DE
SESG,EURONEXT - EURONEXT PARIS,SESG
DOC,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),DOC
MONY,LONDON STOCK EXCHANGE,MONY
SOL,ELECTRONIC SHARE MARKET,SOL
ECV,XETRA,ECV.DE
BEAN,SIX SWISS EXCHANGE,BEAN
KSB,XETRA,KSB.DE
NN,EURONEXT - EURONEXT AMSTERDAM,NN
NP3,NASDAQ STOCKHOLM AB,NP3
CABK,BOLSA DE MADRID,CABK
ATE,EURONEXT - EURONEXT PARIS,ATE
EVK,XETRA,EVK.DE
SIGN,SIX SWISS EXCHANGE,SIGN
KGX,XETRA,KGX.DE
TENERGY,ATHENS EXCHANGE S.A. CASH MARKET,TENERGY
AKSA.E,BORSA ISTANBUL - EQUITY MARKET,AKSA.E
ALARK.E,BORSA ISTANBUL - EQUITY MARKET,ALARK.E
BCP,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,BCP
UTG,LONDON STOCK EXCHANGE,UTG
PAL,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),PAL
VSVS,LONDON STOCK EXCHANGE,VSVS
CIMSA.E,BORSA ISTANBUL - EQUITY MARKET,CIMSA.E
ENI,ELECTRONIC SHARE MARKET,ENI
EREGL.E,BORSA ISTANBUL - EQUITY MARKET,EREGL.E
EBS,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),EBS
ADE,OSLO BORS ASA,ADE
GFTU,LONDON STOCK EXCHANGE,GFTU
ALE,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,ALE
VIE,EURONEXT - EURONEXT PARIS,VIE
LONN,SIX SWISS EXCHANGE,LONN
37773,XETRA,37773.DE
FRES,LONDON STOCK EXCHANGE,FRES
WRT1V,NASDAQ HELSINKI LTD,WRT1V
KWS,LONDON STOCK EXCHANGE,KWS
PLUS,LONDON STOCK EXCHANGE,PLUS
EPRO B,NASDAQ STOCKHOLM AB,EPRO B
TKO,EURONEXT - EURONEXT PARIS,TKO
PETKM.E,BORSA ISTANBUL - EQUITY MARKET,PETKM.E
VAKBN.E,BORSA ISTANBUL - EQUITY MARKET,VAKBN.E
SECU B,NASDAQ STOCKHOLM AB,SECU B
BYG,LONDON STOCK EXCHANGE,BYG
BEIJ B,NASDAQ STOCKHOLM AB,BEIJ B
SPNO,NASDAQ COPENHAGEN A/S,SPNO
HTWS,LONDON STOCK EXCHANGE,HTWS
EQNR,OSLO BORS ASA,EQNR
SQN,SIX SWISS EXCHANGE,SQN
CEM,ELECTRONIC SHARE MARKET,CEM
BFSA,XETRA,BFSA.DE
THYAO.E,BORSA ISTANBUL - EQUITY MARKET,THYAO.E
DATA,LONDON STOCK EXCHANGE,DATA
COR,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,COR
GNS,LONDON STOCK EXCHANGE,GNS
ENTRA,OSLO BORS ASA,ENTRA
AMBU B,NASDAQ COPENHAGEN A/S,AMBU B
JDEP,EURONEXT - EURONEXT AMSTERDAM,JDEP
DHL,XETRA,DHL.DE
FHZN,SIX SWISS EXCHANGE,FHZN
TCAP,LONDON STOCK EXCHANGE,TCAP
REY,ELECTRONIC SHARE MARKET,REY
SCHA,OSLO BORS ASA,SCHA
MRL,BOLSA DE MADRID,MRL
AZA,NASDAQ STOCKHOLM AB,AZA
CADLR,OSLO BORS ASA,CADLR
CPR,ELECTRONIC SHARE MARKET,CPR
TPRO,ELECTRONIC SHARE MARKET,TPRO
QLT,LONDON STOCK EXCHANGE,QLT
BG,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),BG
EVD,XETRA,EVD.DE
SOI,EURONEXT - EURONEXT PARIS,SOI
LOG,BOLSA DE MADRID,LOG
GETI B,NASDAQ STOCKHOLM AB,GETI B
KBCA,EURONEXT - EURONEXT BRUSSELS,KBCA
SUBC,OSLO BORS ASA,SUBC
EMMN,SIX SWISS EXCHANGE,EMMN
ADDT B,NASDAQ STOCKHOLM AB,ADDT B
LAGR B,NASDAQ STOCKHOLM AB,LAGR B
ARGX,EURONEXT - EURONEXT BRUSSELS,ARGX
INF,LONDON STOCK EXCHANGE,INF
SRG,ELECTRONIC SHARE MARKET,SRG
BMPS,ELECTRONIC SHARE MARKET,BMPS
BUR,LONDON STOCK EXCHANGE,BUR
YUBICO,FIRST NORTH SWEDEN - SME GROWTH MARKET,YUBICO
PCO,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PCO
ORSTED,NASDAQ COPENHAGEN A/S,ORSTED
ARCAD,EURONEXT - EURONEXT AMSTERDAM,ARCAD
AGR,LONDON STOCK EXCHANGE,AGR
VIMIAN,FIRST NORTH SWEDEN - SME GROWTH MARKET,VIMIAN
MBK,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,MBK
ITP,EURONEXT - EURONEXT PARIS,ITP
ABN,EURONEXT - EURONEXT AMSTERDAM,ABN
MMK,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),MMK
KNIN,SIX SWISS EXCHANGE,KNIN
DTG,XETRA,DTG.DE
PROT,OSLO BORS ASA,PROT
KEDA,SIX SWISS EXCHANGE,KEDA
IHP,LONDON STOCK EXCHANGE,IHP
OTP,BUDAPEST STOCK EXCHANGE,OTP
AUTO,OSLO BORS ASA,AUTO
LSEG,LONDON STOCK EXCHANGE,LSEG
THG,LONDON STOCK EXCHANGE,THG
DIM,EURONEXT - EURONEXT PARIS,DIM
VIG,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),VIG
1COV,XETRA,1COV.DE
KOMB,PRAGUE STOCK EXCHANGE,KOMB
COFB,EURONEXT - EURONEXT BRUSSELS,COFB
1SXP,XETRA,1SXP.DE
HER,ELECTRONIC SHARE MARKET,HER
XIOR,EURONEXT - EURONEXT BRUSSELS,XIOR
FTK,XETRA,FTK.DE
HLE,XETRA,HLE.DE
VACN,SIX SWISS EXCHANGE,VACN
TRMD A,NASDAQ COPENHAGEN A/S,TRMD A
SNGS,MOSCOW EXCHANGE - ALL MARKETS,SNGS
SEM,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,SEM
TRN,ELECTRONIC SHARE MARKET,TRN
MRK,XETRA,MRK.DE
DOAS.E,BORSA ISTANBUL - EQUITY MARKET,DOAS.E
BIM,EURONEXT - EURONEXT PARIS,BIM
GRF,BOLSA DE MADRID,GRF
NG.,LONDON STOCK EXCHANGE,NG.
CGCBV,NASDAQ HELSINKI LTD,CGCBV
AKE,EURONEXT - EURONEXT PARIS,AKE
BRKN,SIX SWISS EXCHANGE,BRKN
PZU,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PZU
KOJAMO,NASDAQ HELSINKI LTD,KOJAMO
LDA,BOLSA DE MADRID,LDA
VETO,EURONEXT - EURONEXT PARIS,VETO
ZEAL,NASDAQ COPENHAGEN A/S,ZEAL
SFER,ELECTRONIC SHARE MARKET,SFER
RENE,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,RENE
AEGN,ATHENS EXCHANGE S.A. CASH MARKET,AEGN
BFF,ELECTRONIC SHARE MARKET,BFF
PIA,ELECTRONIC SHARE MARKET,PIA
TOM2,EURONEXT - EURONEXT AMSTERDAM,TOM2
DESN,SIX SWISS EXCHANGE,DESN
AAK,NASDAQ STOCKHOLM AB,AAK
KNEBV,NASDAQ HELSINKI LTD,KNEBV
