Ticker,Exchange,Full ticker
GPP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,GPP
ENX,EURONEXT - EURONEXT PARIS,ENX
NA9,XETRA,NA9.DE
STLAM,ELECTRONIC SHARE MARKET,STLAM
HAG,XETRA,HAG.DE
SPI,LONDON STOCK EXCHANGE,SPI
BAKKA,OSLO BORS ASA,BAKKA
RMS,EURONEXT - EURONEXT PARIS,RMS
UBSG,SIX SWISS EXCHANGE,UBSG
SAB,BOLSA DE MADRID,SAB
NEX,EURONEXT - EURONEXT PARIS,NEX
ALR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,ALR
TEMN,SIX SWISS EXCHANGE,TEMN
DLG,ELECTRONIC SHARE MARKET,DLG
MAREL,NASDAQ ICELAND HF.,MAREL
GEKTERNA,ATHENS EXCHANGE S.A. CASH MARKET,GEKTERNA
EUROB,ATHENS EXCHANGE S.A. CASH MARKET,EUROB
ORA,EURONEXT - EURONEXT PARIS,ORA
INPST,EURONEXT - EURONEXT AMSTERDAM,INPST
TE,EURONEXT - EURONEXT PARIS,TE
FGP,LONDON STOCK EXCHANGE,FGP
MIL,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,MIL
BCGE,SIX SWISS EXCHANGE,BCGE
ARLN,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,ARLN
ZEG,LONDON STOCK EXCHANGE,ZEG
ITRK,LONDON STOCK EXCHANGE,ITRK
AZE,EURONEXT - EURONEXT BRUSSELS,AZE
INVP,LONDON STOCK EXCHANGE,INVP
SRBNK,OSLO BORS ASA,SRBNK
CRN,LONDON STOCK EXCHANGE,CRN
KEMPOWR,FIRST NORTH FINLAND - SME GROWTH MARKET,KEMPOWR
PSM,XETRA,PSM.DE
AMS,BOLSA DE MADRID,AMS
TEN,ELECTRONIC SHARE MARKET,TEN
FIE,XETRA,FIE.DE
WWI,OSLO BORS ASA,WWI
MMT,EURONEXT - EURONEXT PARIS,MMT
DCC,LONDON STOCK EXCHANGE,DCC
ASSA B,NASDAQ STOCKHOLM AB,ASSA B
EDEN,EURONEXT - EURONEXT PARIS,EDEN
STMPA,EURONEXT - EURONEXT PARIS,STMPA
FLE,EURONEXT - EURONEXT AMSTERDAM,FLE
SINCH,NASDAQ STOCKHOLM AB,SINCH
EXN,EURONEXT - EURONEXT PARIS,EXN
DWL,LONDON STOCK EXCHANGE,DWL
BREE,LONDON STOCK EXCHANGE,BREE
BDX,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,BDX
AGN,EURONEXT - EURONEXT AMSTERDAM,AGN
NAS,OSLO BORS ASA,NAS
WAF,XETRA,WAF.DE
LAMDA,ATHENS EXCHANGE S.A. CASH MARKET,LAMDA
RED,BOLSA DE MADRID,RED
MOL,BUDAPEST STOCK EXCHANGE,MOL
AZM,ELECTRONIC SHARE MARKET,AZM
DOKA,SIX SWISS EXCHANGE,DOKA
YPSN,SIX SWISS EXCHANGE,YPSN
HBMN,SIX SWISS EXCHANGE,HBMN
H2O,SPOT REGULATED MARKET - BVB,H2O
SSPG,LONDON STOCK EXCHANGE,SSPG
SY1,XETRA,SY1.DE
HIK,LONDON STOCK EXCHANGE,HIK
MTX,XETRA,MTX.DE
JSW,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,JSW
SRAIL,SIX SWISS EXCHANGE,SRAIL
DOCM,SIX SWISS EXCHANGE,DOCM
RBI,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),RBI
NESTE,NASDAQ HELSINKI LTD,NESTE
YOU,LONDON STOCK EXCHANGE,YOU
PEP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PEP
EVN,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),EVN
OMV,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),OMV
STR,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),STR
UCB,EURONEXT - EURONEXT BRUSSELS,UCB
ALV,XETRA,ALV.DE
KCR,NASDAQ HELSINKI LTD,KCR
BYW6,XETRA,BYW6.DE
DBK,XETRA,DBK.DE
KRN,XETRA,KRN.DE
G1A,XETRA,G1A.DE
PAH3,XETRA,PAH3.DE
TUI1,XETRA,TUI1.DE
RWE,XETRA,RWE.DE
TKA,XETRA,TKA.DE
CIE,BOLSA DE MADRID,CIE
IDR,BOLSA DE MADRID,IDR
ANA,BOLSA DE MADRID,ANA
ELE,BOLSA DE MADRID,ELE
FAE,BOLSA DE MADRID,FAE
IBE,BOLSA DE MADRID,IBE
MAP,BOLSA DE MADRID,MAP
TBCG,LONDON STOCK EXCHANGE,TBCG
SCYR,BOLSA DE MADRID,SCYR
AI,EURONEXT - EURONEXT PARIS,AI
NOD,OSLO BORS ASA,NOD
TEL2 B,NASDAQ STOCKHOLM AB,TEL2 B
BEN,EURONEXT - EURONEXT PARIS,BEN
AM,EURONEXT - EURONEXT PARIS,AM
FGR,EURONEXT - EURONEXT PARIS,FGR
OR,EURONEXT - EURONEXT PARIS,OR
MF,EURONEXT - EURONEXT PARIS,MF
ANE,BOLSA DE MADRID,ANE
MMB,EURONEXT - EURONEXT PARIS,MMB
