INPST,EURONEXT - EURONEXT AMSTERDAM
TE,EURONEXT - EURONEXT PARIS
FGP,LONDON STOCK EXCHANGE
MIL,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
BCGE,SIX SWISS EXCHANGE
ARLN,HANSEATISCHE WERTPAPIERBOERSE HAMBURG
ZEG,LONDON STOCK EXCHANGE
ITRK,LONDON STOCK EXCHANGE
AZE,EURONEXT - EURONEXT BRUSSELS
INVP,LONDON STOCK EXCHANGE
SRBNK,OSLO BORS ASA
CRN,LONDON STOCK EXCHANGE
KEMPOWR,FIRST NORTH FINLAND - SME GROWTH MARKET
PSM,XETRA
AMS,BOLSA DE MADRID
TEN,ELECTRONIC SHARE MARKET
FIE,XETRA
WWI,OSLO BORS ASA
MMT,EURONEXT - EURONEXT PARIS
DCC,LONDON STOCK EXCHANGE
ASSA B,NASDAQ STOCKHOLM AB
EDEN,EURONEXT - EURONEXT PARIS
STMPA,EURONEXT - EURONEXT PARIS
FLE,EURONEXT - EURONEXT AMSTERDAM
SINCH,NASDAQ STOCKHOLM AB
EXN,EURONEXT - EURONEXT PARIS
DWL,LONDON STOCK EXCHANGE
BREE,LONDON STOCK EXCHANGE
BDX,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
AGN,EURONEXT - EURONEXT AMSTERDAM
NAS,OSLO BORS ASA
WAF,XETRA
LAMDA,ATHENS EXCHANGE S.A. CASH MARKET
RED,BOLSA DE MADRID
MOL,BUDAPEST STOCK EXCHANGE
AZM,ELECTRONIC SHARE MARKET
DOKA,SIX SWISS EXCHANGE
YPSN,SIX SWISS EXCHANGE
HBMN,SIX SWISS EXCHANGE
H2O,SPOT REGULATED MARKET - BVB
SSPG,LONDON STOCK EXCHANGE
SY1,XETRA
HIK,LONDON STOCK EXCHANGE
MTX,XETRA
JSW,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
SRAIL,SIX SWISS EXCHANGE
DOCM,SIX SWISS EXCHANGE
RBI,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
NESTE,NASDAQ HELSINKI LTD
YOU,LONDON STOCK EXCHANGE
PEP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
EVN,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
OMV,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
STR,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
UCB,EURONEXT - EURONEXT BRUSSELS
ALV,XETRA
KCR,NASDAQ HELSINKI LTD
BYW6,XETRA
DBK,XETRA
KRN,XETRA
G1A,XETRA
PAH3,XETRA
TUI1,XETRA
RWE,XETRA
TKA,XETRA
CIE,BOLSA DE MADRID
IDR,BOLSA DE MADRID
ANA,BOLSA DE MADRID
ELE,BOLSA DE MADRID
FAE,BOLSA DE MADRID
IBE,BOLSA DE MADRID
MAP,BOLSA DE MADRID
TBCG,LONDON STOCK EXCHANGE
SCYR,BOLSA DE MADRID
AI,EURONEXT - EURONEXT PARIS
NOD,OSLO BORS ASA
TEL2 B,NASDAQ STOCKHOLM AB
BEN,EURONEXT - EURONEXT PARIS
AM,EURONEXT - EURONEXT PARIS
FGR,EURONEXT - EURONEXT PARIS
OR,EURONEXT - EURONEXT PARIS
MF,EURONEXT - EURONEXT PARIS
ANE,BOLSA DE MADRID
MMB,EURONEXT - EURONEXT PARIS
RCO,EURONEXT - EURONEXT PARIS
ADEN,SIX SWISS EXCHANGE
DSY,EURONEXT - EURONEXT PARIS
AHT,LONDON STOCK EXCHANGE
BWY,LONDON STOCK EXCHANGE
FOUR,LONDON STOCK EXCHANGE
GJF,OSLO BORS ASA
GBF,XETRA
COA,LONDON STOCK EXCHANGE
CPG,LONDON STOCK EXCHANGE
CRDA,LONDON STOCK EXCHANGE
RS1,LONDON STOCK EXCHANGE
SXS,LONDON STOCK EXCHANGE
REDD,LONDON STOCK EXCHANGE
DGE,LONDON STOCK EXCHANGE
HAL,EURONEXT - EURONEXT AMSTERDAM
INCH,LONDON STOCK EXCHANGE
HELN,SIX SWISS EXCHANGE
KGF,LONDON STOCK EXCHANGE
PAG,LONDON STOCK EXCHANGE
VAR,OSLO BORS ASA
NXT,LONDON STOCK EXCHANGE
OXIG,LONDON STOCK EXCHANGE
PRU,LONDON STOCK EXCHANGE
STJ,LONDON STOCK EXCHANGE
NWG,LONDON STOCK EXCHANGE
SVS,LONDON STOCK EXCHANGE
PNN,LONDON STOCK EXCHANGE
TW.,LONDON STOCK EXCHANGE
TSCO,LONDON STOCK EXCHANGE
ABBN,SIX SWISS EXCHANGE
BELL,SIX SWISS EXCHANGE
SAVE,NASDAQ STOCKHOLM AB
BOSN,SIX SWISS EXCHANGE
BUCN,SIX SWISS EXCHANGE
JFN,SIX SWISS EXCHANGE
HUBN,SIX SWISS EXCHANGE
LUKN,SIX SWISS EXCHANGE
